"establecimiento_id","establecimiento_nombre","localidad_id","localidad_nombre","provincia_id","provincia_nombre","departamento_id","departamento_nombre","cod_loc","cod_ent ","origen_financiamiento","tipologia_id","tipologia_nombre","tipologia","cp","domicilio","sitio_web"
70068612313770,"MUNOZ",6861010002,"FLORIDA",6,"BUENOS AIRES",861,"VICENTE LÓPEZ",10,2,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1,"C. F. MELO 2805",
70063572313771,"MERIDA",6357110003,"MAR DEL PLATA",6,"BUENOS AIRES",357,"GENERAL PUEYRREDÓN",110,3,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1,"BOLIVAR 2808",
70065812313772,"Giacometti MarÃ­Luisa",6581040001,"NECOCHEA",6,"BUENOS AIRES",581,"NECOCHEA",40,1,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",7630,"AV.59 2822",
70066232313773,"SCHNEIDER",6623100000,"PERGAMINO",6,"BUENOS AIRES",623,"PERGAMINO",100,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",2700,"MITRE 284",
70062522313774,"POZZUOLI SCS",6252010003,"GARIN",6,"BUENOS AIRES",252,"ESCOBAR",10,3,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",0,"Cayetano Bourdet 2846",
70061822313775,"ROGUIER",6182030000,"PUNTA ALTA",6,"BUENOS AIRES",182,"CORONEL DE MARINA L. ROSALES",30,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1,"CIUDAD DE CARMELO 285",
70063572313776,"DEL LABRADOR SCS",6357110003,"MAR DEL PLATA",6,"BUENOS AIRES",357,"GENERAL PUEYRREDÓN",110,3,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",7600,"TUCUMAN 2853",
70064272313777,"WAINSTEIN",6427010005,"ISIDRO CASANOVA",6,"BUENOS AIRES",427,"LA MATANZA",10,5,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1765,"MARCONI 2857",
70060582313778,"YAMASATO",6658010006,"QUILMES",6,"BUENOS AIRES",658,"QUILMES",10,6,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1878,"GARIBALDI 286",
70064412313779,"MELGAR",6441030018,"MANUEL B. GONNET",6,"BUENOS AIRES",441,"LA PLATA",30,18,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1897,"25 2863",
70060982313780,"BERISSO",6098010004,"BERISSO",6,"BUENOS AIRES",98,"BERISSO",10,4,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1923,"CALLE 11 2882",
70063712313781,"FARMACIA CAPORALE",6371010021,"VILLA MAIPU",6,"BUENOS AIRES",371,"GENERAL SAN MARTÍN",10,21,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1650,"ESTRADA 2804",
70062522313782,"RUSSO",6252010001,"BELEN DE ESCOBAR",6,"BUENOS AIRES",252,"ESCOBAR",10,1,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1,"EUGENIA TAPIA DE CRUZ 308",
70066382313783,"MANUEL ALBERTI SOC. EN COMANDITA SIMPLE",6638050,"MANUEL ALBERTI",6,"BUENOS AIRES",638,"PILAR",50,,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1,"HIPOLITO YRIGOYEN 308",
70066382313784,"MANUEL ALBERTI S.C.S.",6638050,"MANUEL ALBERTI",6,"BUENOS AIRES",638,"PILAR",50,,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1667,"YRIGOYEN HIPOLITO 308",
70064342313785,"MARTI",6434010002,"LANUS ESTE",6,"BUENOS AIRES",434,"LANÚS",10,2,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1824,"HIPOLITO IRIGOYEN 3080",
70064902313786,"CANOSA",6490010003,"LOMAS DE ZAMORA",6,"BUENOS AIRES",490,"LOMAS DE ZAMORA",10,3,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1,"RECONDO 31",
